2020-04-10 11:23:01.344[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.mybatis.annotation.demo.mapper.MessageMapperTest], using SpringBootContextLoader
2020-04-10 11:23:03.753[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=23, msgText=桃花, msgSummary=春天)
2020-04-10 11:23:03.754[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=24, msgText=桃花, msgSummary=春天)
2020-04-10 11:23:03.754[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=25, msgText=桃花, msgSummary=春天)
2020-04-10 11:23:03.754[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=26, msgText=桃花, msgSummary=春天)
2020-04-10 11:23:03.754[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=27, msgText=桃花, msgSummary=春天)
2020-04-10 11:23:03.754[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=28, msgText=桃花, msgSummary=春天)
2020-04-10 11:23:03.754[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=29, msgText=桃花, msgSummary=春天)
2020-04-10 11:23:03.754[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=30, msgText=桃花, msgSummary=春天)
2020-04-10 11:23:03.755[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=31, msgText=桃花, msgSummary=春天)
2020-04-10 11:23:03.755[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=32, msgText=桃花, msgSummary=春天)
2020-04-10 11:23:03.755[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=33, msgText=桃花, msgSummary=春天)
2020-04-10 11:23:03.755[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=34, msgText=桃花, msgSummary=春天)
2020-04-10 11:23:03.755[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=35, msgText=桃花, msgSummary=春天)
2020-04-10 11:23:03.756[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=36, msgText=桃花, msgSummary=春天)
2020-04-10 11:23:03.756[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=37, msgText=桃花, msgSummary=春天)
2020-04-10 11:23:03.756[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=38, msgText=apple, msgSummary=水果)
2020-04-10 11:23:03.756[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=39, msgText=origin, msgSummary=水果)
2020-04-10 11:23:03.757[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=40, msgText=桃花, msgSummary=春天)
2020-04-10 11:23:03.757[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=41, msgText=apple, msgSummary=水果)
2020-04-10 11:23:03.757[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=42, msgText=origin, msgSummary=水果)
2020-04-10 11:23:03.757[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=43, msgText=桃花, msgSummary=春天)
2020-04-10 11:23:03.757[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=44, msgText=apple, msgSummary=水果)
2020-04-10 11:23:03.757[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=45, msgText=origin, msgSummary=水果)
2020-04-10 11:23:03.758[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=46, msgText=banana, msgSummary=水果)
2020-04-10 11:23:03.758[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=47, msgText=origin, msgSummary=水果)
2020-04-10 11:23:03.758[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=48, msgText=桃花, msgSummary=春天)
2020-04-10 11:23:03.758[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=49, msgText=桃花, msgSummary=春天)
2020-04-10 11:23:03.758[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=50, msgText=banana, msgSummary=水果)
2020-04-10 11:23:03.758[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=51, msgText=origin, msgSummary=水果)
2020-04-10 11:23:03.758[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=52, msgText=桃花, msgSummary=春天)
2020-04-10 11:23:03.759[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=53, msgText=banana, msgSummary=水果)
2020-04-10 11:23:03.759[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=54, msgText=origin, msgSummary=水果)
2020-04-10 11:23:03.759[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=55, msgText=桃花, msgSummary=春天)
2020-04-10 11:23:03.759[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=56, msgText=apple, msgSummary=水果)
2020-04-10 11:23:03.759[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=57, msgText=origin, msgSummary=水果)
2020-04-10 11:23:03.759[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 查询到的记录:Message(msgId=58, msgText=桃花, msgSummary=春天)
2020-04-10 11:23:03.766[main][main] DEBUG c.e.m.a.d.m.MessageMapper.selectById - ==>  Preparing: select * from message where msg_id=? 
2020-04-10 11:23:03.767[main][main] DEBUG c.e.m.a.d.m.MessageMapper.selectById - ==> Parameters: 8(Integer)
2020-04-10 11:23:03.768[main][main] DEBUG c.e.m.a.d.m.MessageMapper.selectById - <==      Total: 0
2020-04-10 11:23:03.769[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - id为8的数据：null
2020-04-10 11:23:03.776[main][main] DEBUG c.e.m.a.d.m.MessageMapper.delete - ==>  Preparing: delete from message where msg_id=? 
2020-04-10 11:23:03.776[main][main] DEBUG c.e.m.a.d.m.MessageMapper.delete - ==> Parameters: 8(Integer)
2020-04-10 11:23:03.777[main][main] DEBUG c.e.m.a.d.m.MessageMapper.delete - <==    Updates: 0
2020-04-10 11:23:03.778[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 删除的数据:0
2020-04-10 11:23:03.829[main][main] DEBUG c.e.m.a.d.m.MessageMapper.update - ==>  Preparing: update message set msg_text=?, msg_summary=? where msg_id = ? 
2020-04-10 11:23:03.830[main][main] DEBUG c.e.m.a.d.m.MessageMapper.update - ==> Parameters: name(String), 孙(String), 1(Integer)
2020-04-10 11:23:03.831[main][main] DEBUG c.e.m.a.d.m.MessageMapper.update - <==    Updates: 0
2020-04-10 11:23:03.831[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 更新的数据条数:0
2020-04-10 11:23:03.836[main][main] DEBUG c.e.m.a.d.m.MessageMapper.updateText - ==>  Preparing: update message SET msg_text=?, msg_summary=? where msg_id = ? 
2020-04-10 11:23:03.836[main][main] DEBUG c.e.m.a.d.m.MessageMapper.updateText - ==> Parameters: username(String), (String), 2(Integer)
2020-04-10 11:23:03.837[main][main] DEBUG c.e.m.a.d.m.MessageMapper.updateText - <==    Updates: 0
2020-04-10 11:23:03.837[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 更新Text的数据条数:0
2020-04-10 11:23:03.846[main][main] DEBUG c.e.m.a.d.m.M.batchInsert - ==>  Preparing: insert into message (msg_text,msg_summary) values (?,?) , (?,?) 
2020-04-10 11:23:03.847[main][main] DEBUG c.e.m.a.d.m.M.batchInsert - ==> Parameters: banana(String), 水果(String), origin(String), 水果(String)
2020-04-10 11:23:03.850[main][main] DEBUG c.e.m.a.d.m.M.batchInsert - <==    Updates: 2
2020-04-10 11:23:03.851[main][main] INFO  c.e.m.a.d.mapper.MessageMapperTest - 插入的数据条数:2
2020-04-10 11:23:03.861[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2020-04-10 11:23:03.876[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
